,address,city,lat,lng,name,place_id,state
37,"1100 South Hayes Street, Arlington, VA 22202, United States",Arlington,38.862554,-77.060929,babyGap,ChIJcT6Y-962t4kRg-ce0VIlHsI,VA
38,"1961 Chain Bridge Road, McLean, VA 22102, United States",McLean,38.917902,-77.218488,Old Navy,ChIJ6-_lu-9KtokR9WWSTg38cLo,VA
39,"7906 Tysons Corner Center, McLean, VA 22102, United States",McLean,38.918081,-77.219966,Baby Gap,ChIJTb0g5ehKtokRdfNqNdu8le0,VA
40,"12209 Fair Lakes Promenade Drive, Fairfax, VA 22033, United States",Fairfax,38.859105,-77.367904,Old Navy,ChIJmUsrr2dPtokR7e6ZO2_kr5w,VA
41,"7101 Democracy Boulevard, Bethesda, MD 20817, United States",Bethesda,39.023572,-77.145993,Gap,ChIJX4Q-kn_Mt4kRpcHLPQRMldk,MD
42,"6711 Frontier Drive, Springfield, VA 22150, United States",Springfield,38.77171,-77.170005,Old Navy,ChIJg3f3Wmett4kRo_qWSdG2Zbw,VA
43,"1629 Washington Plaza North, Reston, VA 20190, United States",Reston,38.968837,-77.340528,Small Change Consignments,ChIJYy9gr9E3tokRz3L4_WEh93M,VA
44,"1258 Wisconsin Avenue Northwest, Washington, DC 20007, United States",D.C.,38.9066,-77.06325,GapKids,ChIJjV0geEm2t4kRMC2KCA5maRs,DC
45,"2250 Petrie Lane, Suite 532, Lanham, MD 20706, United States",Lanham,38.921345,-76.847781,Old Navy,ChIJkfRGicLBt4kRmbQWanmmJYw,MD
46,"2700 Potomac Mills Circle, Woodbridge, VA 22192, United States",Woodbridge,38.644076,-77.292638,Gap Outlet,ChIJ0fQlhwxWtokRQp6q1ZfeUiM,VA
47,"7906 Tysons Corner Center, McLean, VA 22102, United States",McLean,38.918094,-77.220103,GapBody,ChIJdwchnly1t4kR1hiZkaVK6ls,VA
48,"289 Muddy Branch Road, Gaithersburg, MD 20878, United States",Gaithersburg,39.12863,-77.207902,Tina's Consignment Shop Inc,ChIJm8cDu0cttokRliq4-3GsHs0,MD
49,"7000 Arundel Mills Cir, Hanover, MD 21076, United States",Hanover,39.15549,-76.724191,Old Navy,ChIJ60bl8ubjt4kR6mo5y57phVE,MD
50,"11900 Market Street, Reston, VA 20190, United States",Reston,38.958491,-77.35756,Athleta,ChIJxb4LGB9ItokROHLTqfDYJ_k,VA
51,"7000 Arundel Mills Cir, Hanover, MD 21076, United States",Hanover,39.157679,-76.724966,Gap Outlet,ChIJ60bl8ubjt4kRPhD4IZ5lfNA,MD
52,"11930U Fair Oaks Mall, Fairfax, VA 22033, United States",Fairfax,38.864612,-77.357296,babyGap,ChIJUy9htkBPtokRH0C6nl-Mj74,VA
53,"8034 Tysons Corner Center, McLean, VA 22102, United States",Fairfax County,38.917446,-77.223402,Athleta,ChIJ61lZFVu1t4kR-icyrkAsVrM,VA
54,"11750-U Fair Oaks Mall, Fairfax, VA 22033, United States",Fairfax,38.863194,-77.358984,Gap,ChIJNeIGdEBPtokRZbdGV0XQ8YI,VA
55,"3166 Mount Pleasant Street Northwest, Washington, DC 20010, United States",D.C.,38.930412,-77.038255,Amani DC,ChIJISufOyHIt4kRBGUgR3GRon0,DC
56,"5335 Wisconsin Avenue NW, Washington, DC 20015, United States",D.C.,38.960497,-77.084761,Old Navy,ChIJD5Cq15bJt4kRK0Igqf5oilw,DC
57,"Fair Oaks Mall, 11750 Fair Oaks Mall, Fairfax, VA 22033, United States",Fairfax,38.862922,-77.358864,GapMaternity,ChIJUy9htkBPtokRbccsKoNfaGE,VA
